username,user_id,date,day_number,score,total,guesses
optic_chiasm,653328279020896297,2026-05-05T00:00:00.000Z,682,4,10,"[1,1,1,0,1,0,0,0,0,0]"
optic_chiasm,653328279020896297,2026-04-30T00:00:00.000Z,677,4,10,"[0,0,1,1,0,1,1,0,0,0]"
optic_chiasm,653328279020896297,2026-04-26T00:00:00.000Z,673,6,10,"[1,0,1,0,0,0,1,1,1,1]"
